Feature,Importance
UNIVERSITY_UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,1.1264979698908668e-06
SCHOOL_NAME_INST TEC MERCEDES ABREGO,1.1182342927963592e-06
UNIVERSITY_FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO-CARTAGENA,1.1170922516738736e-06
EDU_MOTHER_Incomplete technical or technological,1.1113900365521358e-06
Cod_SPro_EK201830228257,1.1089673748208585e-06
SCHOOL_NAME_INST SAN BERNARDO DE LA SALLE,1.0999209292968214e-06
SCHOOL_NAME_COLEGIO CODEMA (IED),1.0923647832182105e-06
SCHOOL_NAME_IE LICEO GABRIELA MISTRAL,1.0815742825386285e-06
SCHOOL_NAME_INSTITUTO LA RIVERA,1.0747177343315658e-06
SCHOOL_NAME_INSTITUCION EDUCATIVA ANTONIO NARI¿O,1.0732054845064433e-06
COD_S11_SB11201320043796,1.050807882963295e-06
SCHOOL_NAME_COL SUPERIOR AMERICANO,1.0467491483997435e-06
Cod_SPro_EK201830101796,1.0391823293873894e-06
SCHOOL_NAME_COLEGIO COLSUBSIDIO CHICALÃ,1.0364483141120725e-06
SCHOOL_NAME_COL ANGLO AMERICANO                                                                                 ,1.0343276577302805e-06
Cod_SPro_EK201830100253,1.0314149024351516e-06
UNIVERSITY_UNIVERSIDAD LIBRE-CUCUTA,1.0298839725423638e-06
Cod_SPro_EK201830144691,1.0266178610660473e-06
COD_S11_SB11201320508945,1.0181414732263734e-06
COD_S11_SB11201320032834,1.0107878010611325e-06
SCHOOL_NAME_COLEGIO DIEGO MONTAÑA CUÉLLAR (IED),1.0092145198066626e-06
SCHOOL_NAME_ALMIRANTE PADILLA,1.0081453084496065e-06
SCHOOL_NAME_COLEGIO LA PALESTINA (IED),1.0009273312994204e-06
SCHOOL_NAME_LIC  ANTONIO DE TOLEDO                                                                              ,9.86144361892506e-07
SCHOOL_NAME_COLEGIO DE BACHILLERATO NUEVA ESPERANZA,9.822077929892765e-07
UNIVERSITY_UNIVERSIDAD ICESI-CALI,9.621544599721405e-07
COD_S11_SB11201320012065,9.588844729181145e-07
COD_S11_SB11201220343972,9.561470334130343e-07
SCHOOL_NAME_COL DEL SANTISIMO SACRAMENTO,9.518139286261687e-07
